symbol,name,country,industry,Market Capitalization,Total Revenue,Shares Outstanding (mm),shares,currency,jakota_indicies,
2227.TW,Yulon Nissan Motor Co. Ltd,Taiwan,Automobile Manufacturers,1747,802,300,"300,000,000",TWD,[],
9024.TSE,Seibu Holdings Inc.,Japan,Rail Transportation,2873,3052,301,"300,980,000",JPY,[],
5607.TW,Farglory Free Trade Zone Investment Holding Co. Ltd.,Taiwan,Air Freight and Logistics,471,95,301,"301,376,992",TWD,[],
1736.TW,Johnson Health Tech .Co. Ltd.,Taiwan,Leisure Products,707,1129,303,"302,921,984",TWD,[consumer-50],
6589.TWO,EirGenix Inc.,Taiwan,Life Sciences Tools and Services,923,37,305,"304,667,008",TWD,[],
5333.TSE,NGK Insulators Ltd.,Japan,Industrial Machinery and Supplies and Components,4072,3939,306,"306,291,008",JPY,[],
5830.TSE,Iyogin HoldingsInc.,Japan,Regional Banks,2272,944,307,"306,447,008",JPY,[],
9937.TW,National Petroleum Co. Ltd.,Taiwan,Automotive Retail,655,780,309,"309,043,008",TWD,[consumer-50],
000400.KO,Lotte Non - Life Insurance Co. Ltd.,South Korea,Property and Casualty Insurance,637,1779,309,"309,110,016",KRW,[],
3042.TW,TXC Corporation,Taiwan,Electronic Components,931,358,310,"309,756,992",TWD,[tech-100],
7337.TSE,Hirogin Holdings Inc.,Japan,Regional Banks,1957,911,308,"309,841,984",JPY,[],
005880.KO,Korea Line Corporation,South Korea,Marine Transportation,408,1163,311,"310,791,008",KRW,[],
1332.TSE,Nissui Corporation,Japan,Packaged Foods and Meats,1536,5421,311,"311,232,992",JPY,[],
1522.TW,TYC Brother Industrial Co. Ltd.,Taiwan,Automotive Parts and Equipment,422,613,312,"311,958,016",TWD,[],
2850.TW,Shinkong Insurance Co. Ltd.,Taiwan,Property and Casualty Insurance,593,614,316,"315,963,008",TWD,[],
1612.TW,Hong Tai Electric Industrial Co. Ltd.,Taiwan,Electrical Components and Equipment,270,197,316,"316,080,000",TWD,[],
2353.TSE,NIPPON PARKING DEVELOPMENT Co.Ltd.,Japan,Environmental and Facilities Services,458,224,317,"316,340,992",JPY,[],
8848.TSE,Leopalace21 Corporation,Japan,Real Estate Operating Companies,698,2846,319,"317,695,008",JPY,[],
4042.TSE,Tosoh Corporation,Japan,Commodity Chemicals,4115,7281,318,"318,289,984",JPY,[],
8215.TW,BenQ Materials Corporation,Taiwan,Electronic Components,347,512,321,"320,675,008",TWD,[tech-100],
2031.TW,Hsin Kuang Steel Company Limited,Taiwan,Steel,466,511,321,"321,145,984",TWD,[],
2029.TW,Sheng Yu Steel Co. Ltd.,Taiwan,Steel,240,343,321,"321,180,000",TWD,[],
2419.TW,Hitron Technologies Inc.,Taiwan,Communications Equipment,340,400,321,"321,316,992",TWD,[tech-100],
138930.KO,BNK Financial Group Inc.,South Korea,Regional Banks,1628,3832,322,"322,088,000",KRW,[],
6269.TW,Flexium Interconnect Inc.,Taiwan,Electronic Components,882,1267,323,"322,719,008",TWD,[tech-100],
2127.TSE,Nihon M&A Center Holdings Inc.,Japan,Research and Consulting Services,1564,280,324,"324,184,000",JPY,[],
2535.TW,Da-Cin Construction Co.Ltd.,Taiwan,Construction and Engineering,335,501,325,"324,864,992",TWD,[],
2545.TW,Huang Hsiang Construction Corporation,Taiwan,Diversified Real Estate Activities,398,136,328,"327,735,008",TWD,[],
6547.TWO,Medigen Vaccine Biologics Corporation,Taiwan,Biotechnology,742,1,328,"328,364,000",TWD,[],
005940.KO,NH Investment & Securities Co. Ltd.,South Korea,Investment Banking and Brokerage,2633,6147,350,"330,982,016",KRW,[],
6724.TSE,Seiko Epson Corporation,Japan,Technology Hardware Storage and Peripherals,5264,9318,332,"331,516,000",JPY,[],
6446.TWO,PharmaEssentia Corporation,Taiwan,Biotechnology,3465,122,331,"332,679,008",TWD,[],
2536.TW,Hong Pu Real Estate Development Co. Ltd.,Taiwan,Real Estate Development,275,8,333,"332,808,992",TWD,[],
